"","X_id","OFFENCE_YEAR","DIVISION","TICKET_TYPE","OFFENCE_CATEGORY","AGE_GROUP","HOOD_158","NEIGHBOURHOOD_158","TICKET_COUNT"
"1",1,2015,"D41","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Youth","121","Oakridge",4
"2",2,2020,"D42","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Youth","148","East L'Amoreaux",5
"3",3,2020,"D13","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","107","Oakwood Village",304
"4",4,2021,"D22","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","160","Mimico-Queensway",23
"5",5,2014,"D42","Prov Offence Summons Part Iii Form 104                                         ","Aggressive Driving","Adult","116","Steeles",6
"6",6,2021,"D32","Prov Offence Notice - Part I (Pot)                                             ","Distracted Driving","Adult","40","St.Andrew-Windfields",3
"7",7,2014,"D32","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","27","York University Heights",25
"8",8,2018,"D53","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","41","Bridle Path-Sunnybrook-York Mills",33
"9",9,2020,"D22","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Adult","8","Humber Heights-Westmount",1
"10",10,2016,"D42","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","126","Dorset Park",1
"11",11,2017,"D53","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","167","Church-Wellesley",16
"12",12,2014,"D32","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","31","Yorkdale-Glen Park",83
"13",13,2017,"D33","Prov Offence Notice - Part I (Pot)                                             ","Aggressive Driving","Youth","149","Parkwoods-O'Connor Hills",1
"14",14,2021,"D41","Prov Offence Notice - Part I (Pot)                                             ","Speeding","Youth","126","Dorset Park",11
"15",15,2016,"D52","Prov Offence Notice - Part I (Pot)                                             ","All CAIA","Adult","165","Harbourfront-CityPlace",139
"16",16,2015,"D14","Prov Offence Summons Part Iii Form 104                                         ","Other HTA","Adult","162","West Queen West",39
"17",17,2017,"D41","Prov Offence Notice - Part I (Pot)                                             ","Other HTA","Adult","119","Wexford/Maryvale",660
