offence_year,offence_category,age_group,ticket_count
2021,Distracted Driving,Adult,3
2021,Distracted Driving,Adult,5
2021,Distracted Driving,Adult,4
2021,Distracted Driving,Adult,1
2015,Distracted Driving,Adult,158
2014,Distracted Driving,Adult,41
2016,Distracted Driving,Adult,78
2022,Distracted Driving,Adult,9
2018,Distracted Driving,Adult,4
2018,Distracted Driving,Youth,1
2015,Distracted Driving,Adult,192
2016,Distracted Driving,Adult,2
2019,Distracted Driving,Adult,7
2017,Distracted Driving,Adult,17
2014,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,40
2014,Distracted Driving,Adult,10
2022,Distracted Driving,Youth,1
2016,Distracted Driving,Adult,15
2022,Distracted Driving,Adult,29
2018,Distracted Driving,Adult,10
2015,Distracted Driving,Adult,7
2019,Distracted Driving,Adult,5
2022,Distracted Driving,Adult,3
2016,Distracted Driving,Adult,22
2021,Distracted Driving,Adult,27
2021,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,12
2018,Distracted Driving,Adult,2
2018,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,17
2016,Distracted Driving,Adult,8
2014,Distracted Driving,Adult,4
2019,Distracted Driving,Adult,1
2018,Distracted Driving,Adult,35
2015,Distracted Driving,Adult,2
2015,Distracted Driving,Adult,26
2022,Distracted Driving,Adult,32
2016,Distracted Driving,Adult,28
2018,Distracted Driving,Adult,59
2020,Distracted Driving,Adult,331
2019,Distracted Driving,Adult,71
2018,Distracted Driving,Youth,2
2014,Distracted Driving,Adult,156
2014,Distracted Driving,Adult,4
2016,Distracted Driving,Adult,62
2017,Distracted Driving,Adult,16
2015,Distracted Driving,Adult,78
2019,Distracted Driving,Adult,57
2017,Distracted Driving,Youth,1
2021,Distracted Driving,Adult,35
2018,Distracted Driving,Youth,1
2021,Distracted Driving,Adult,1
2022,Distracted Driving,Adult,4
2019,Distracted Driving,Adult,3
2014,Distracted Driving,Adult,150
2016,Distracted Driving,Adult,1
2020,Distracted Driving,Adult,6
2016,Distracted Driving,Adult,30
2022,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,1
2015,Distracted Driving,Adult,48
2016,Distracted Driving,Adult,1
2021,Distracted Driving,Adult,66
2017,Distracted Driving,Adult,1
2019,Distracted Driving,Adult,52
2017,Distracted Driving,Adult,27
2018,Distracted Driving,Adult,6
2016,Distracted Driving,Youth,1
2014,Distracted Driving,Adult,16
2019,Distracted Driving,Adult,10
2019,Distracted Driving,Adult,30
2015,Distracted Driving,Adult,113
2020,Distracted Driving,Adult,5
2020,Distracted Driving,Adult,1
2018,Distracted Driving,Adult,1
2016,Distracted Driving,Adult,89
2016,Distracted Driving,Adult,1
2020,Distracted Driving,Adult,18
2020,Distracted Driving,Adult,22
2016,Distracted Driving,Adult,36
2014,Distracted Driving,Youth,2
2019,Distracted Driving,Adult,5
2020,Distracted Driving,Adult,4
2014,Distracted Driving,Adult,1
2020,Distracted Driving,Adult,1
2021,Distracted Driving,Adult,4
2022,Distracted Driving,Adult,10
2016,Distracted Driving,Adult,13
2021,Distracted Driving,Youth,1
2014,Distracted Driving,Adult,138
2017,Distracted Driving,Adult,1
2016,Distracted Driving,Adult,157
2021,Distracted Driving,Adult,14
2014,Distracted Driving,Adult,7
2019,Distracted Driving,Adult,4
2020,Distracted Driving,Adult,7
2017,Distracted Driving,Adult,1
2014,Distracted Driving,Adult,51
2014,Distracted Driving,Adult,69
2019,Distracted Driving,Adult,16
2016,Distracted Driving,Adult,4
2017,Distracted Driving,Adult,1
2016,Distracted Driving,Youth,1
2021,Distracted Driving,Adult,5
2018,Distracted Driving,Adult,1
2018,Distracted Driving,Adult,2
2017,Distracted Driving,Adult,44
2019,Distracted Driving,Adult,19
2015,Distracted Driving,Adult,60
2018,Distracted Driving,Adult,1
2017,Distracted Driving,Adult,17
2022,Distracted Driving,Adult,7
2015,Distracted Driving,Adult,30
2017,Distracted Driving,Youth,1
